,Unnamed: 0,producto,precio,precio_rel,link,oferta,Q,precio_medida,medida,Q_medida,precio_medida1,precio_medida2
99,99,DIA AL PUNTO pechuga de pollo asada con arroz bandeja 300 gr,2.85,9.50/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 300 gr,9.50,Kg,0.3,9.50,9.5
100,100,DIA AL PUNTO pollo asado entero bandeja 900 gr,5.09,5.66/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 900 gr,5.66,Kg,0.899,5.66,5.66
101,101,DIA AL PUNTO muslo de pollo asado al limon con patatas bandeja 300 gr,3.05,10.17/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 300 gr,10.17,Kg,0.3,10.17,10.17
102,102,DIA AL PUNTO pizza barbacoa envase 420 gr,2.35,5.53/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 420 gr,5.53,Kg,0.425,5.53,5.53
103,103,DIA AL PUNTO tallarines a la carbonara bandeja 250 gr,2.05,8.20/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 250 gr,8.20,Kg,0.25,8.20,8.2
104,104,DIA AL PUNTO macarrones con chorizo bandeja 250 gr,2.05,8.20/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 250 gr,8.20,Kg,0.25,8.20,8.2
105,105,DIA AL PUNTO paella mixta bandeja 320 gr,3.09,9.66/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 320 gr,9.66,Kg,0.32,9.66,9.66
106,106,DIA AL PUNTO arroz tres delicias bandeja 320 gr,2.39,7.47/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 320 gr,7.47,Kg,0.32,7.47,7.47
107,107,DIA AL PUNTO ensaladilla rusa bandeja 300 gr,2.55,8.50/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 300 gr,8.50,Kg,0.3,8.50,8.5
108,108,DIA AL PUNTO gyozas de pollo y verduras al teppanyaki bandeja 8 uds 150 gr,2.39,17.07/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 8 uds 150 gr,17.07,Kg,0.14,17.07,17.07
109,109,DIA AL PUNTO tortilla de patatas fresca con chorizo envase 600 gr,2.85,4.75/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 600 gr,4.75,Kg,0.6,4.75,4.75
110,110,DIA AL PUNTO lasana bolonesa gratinada bandeja 350 gr,2.45,7.00/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 350 gr,7.00,Kg,0.35,7.00,7.0
