,producto,precio,cantidad,medida,cantidad_
220,Mango unidad (720 gr aprox.),1.69,0.719,kg,0.719
221,DIA LACTEA queso raLLado mezcLa 4 quesos boLsa 200 gr,1.79,0.2,kg,0.2
222,RepoLLo Liso unidad (3.2 kg aprox.),3.17,3.202,kg,3.202
223,Lombarda unidad (3.3 kg aprox.),3.27,3.303,kg,3.303
224,SELECCIÃÂN DE DIA fiLetes de pechuga de poLLo corte fino bandeja (peso aprox. 660 gr),5.35,0.66,kg,0.66
225,PALACIOS chorizo sarta pieza 250 gr,3.45,0.25,kg,0.25
226,DIA EL CENCERRO queso tierno pieza 1 kg,6.45,1.0,kg,1.0
227,DIA SELECCIÃÂN MUNDIAL queso gouda cuna 500 gr,2.95,0.5,kg,0.5
228,SERRANO Longaniza de pavo y poLLo 320 gr ,1.99,0.32,kg,0.32
229,PLatano para freir unidad (360 gr aprox.),0.72,0.362,kg,0.362
230,CASA TARRADELLAS espetec pack 2 x 180 gr,3.99,0.36,kg,0.36
231,BURGO DE ARIAS queso fresco mini 0% envase pack 3x72 g,2.39,0.216,kg,0.216
232,CeboLLa morada maLLa 500 gr,1.05,0.5,kg,0.5
233,Corazones de Lechuga romana bandeja 2 uds,1.39,1.986,ud,1.986
234,DIA EL CENCERRO queso tierno en Lonchas envase 250 gr,1.95,0.25,kg,0.25
235,BABYBEL mini queso 6 porciones boLsa 120 gr ,2.39,0.12,kg,0.12
236,DIA MARI MARINERA paLitos de surimi refrigeradas paquete 300 gr ,1.75,0.3,kg,0.3
237,DIA EL CENCERRO queso tierno de cabra mini 550 gr,5.95,0.55,kg,0.55
238,Pera conferencia cesta 1 kg,1.49,1.0,kg,1.0
239,DIA magro de cerdo Lata 220 gr ,1.85,0.22,kg,0.22
240,OSCAR MAYER saLchichas jumbo con queso envase 350 gr,2.19,0.35,kg,0.35
241,SERRANO pechuga de pavo adobada bandeja 240 gr ,2.09,0.24,kg,0.24
242,DIA LACTEA queso fresco 0% M.G pack 4 uds x 62.5 gr,0.99,0.25,kg,0.25
243,"CAMPOFRÃÂO Finissimas jamon cocido extra sobre 115 gr 
",1.99,0.115,kg,0.115
244,CAMPOFRÃÂO Finissimas pechuga de pavo sobre 115 gr,1.99,0.115,kg,0.115
245,BABYBEL mini queso Light 6 porciones boLsa 120 gr,2.49,0.12,kg,0.12
246,EL VENTERO queso tierno bajo en saL mini pieza 550 gr,8.55,0.55,kg,0.55
247,CaLabaza (1.9 kg aprox.),2.38,1.904,kg,1.904
248,SELECCIÃÂN DE DIA panceta fiLeteada de cerdo bandeja 500 gr,2.99,0.5,kg,0.5
249,SELECCIÃÂN DE DIA estofado de cerdo bandeja 600 gr,2.75,0.6,kg,0.6
250,AGUINAMAR mejiLLones cocidos envasado aL vacio 1 kg,4.09,1.0,kg,1.0
251,ELPOZO Bienstar pechuga de pavo 0% M.G. pieza 340 gr,3.15,0.34,kg,0.34
252,ELPOZO Bienstar hamburguesas de pavo bandeja 320 gr ,1.99,0.32,kg,0.32
253,FLOR DE ESGUEVA queso de oveja viejo cuna 250 g,4.79,0.25,kg,0.25
254,LA VACA QUE RIE paLitos con queso fundido caja 4 uds 140 gr,2.09,0.14,kg,0.14
255,KIRI queso fundido porciones caja 6 unidades 108 gr,1.89,0.108,kg,0.108
256,DIA FUNKY FRANK saLchichas super envase 350 gr,1.45,0.35,kg,0.35
257,Pimientos tres coLores boLsa 500 gr,1.55,0.5,kg,0.5
258,DIA VEGECAMPO ensaLada 4 estaciones boLsa 250 gr,0.59,0.25,kg,0.25
259,DIA VEGECAMPO ensaLada gourmet boLsa 175 gr,0.99,0.175,kg,0.175
260,DIA VEGECAMPO espinacas boLsa 300 gr,0.99,0.3,kg,0.3
261,DIA VEGECAMPO ensaLada variada boLsa 200 gr,0.99,0.2,kg,0.2
262,AGUINAMAR coLas de Langostino aL ajiLLo envase 105 gr,2.99,0.105,kg,0.105
263,DIA VEGECAMPO canonigos boLsa 100 gr,0.95,0.1,kg,0.1
264,LA GULA DEL NORTE refrigeradas bandeja 180 gr,5.49,0.18,kg,0.18
265,DIA LACTEA queso mozzareLLa fresca boLsa 125 gr,0.89,0.125,kg,0.125
266,SERRANO preparado de carne picada de pavo y poLLo bandeja 300 gr ,1.79,0.3,kg,0.3
267,Cinta de Lomo adobada (peso aprox. 800 gr),4.68,0.8,kg,0.8
268,ELPOZO jamon cocido en Lonchas sobre 110 gr,1.0,0.11,kg,0.11
269,ELPOZO sobrasada tarrina 250 gr,1.69,0.25,kg,0.25
270,DIA EL CENCERRO queso fresco tradicionaL envase  250 gr,1.35,0.25,kg,0.25
271,DIA LACTEA queso fresco NaturaL envase pack 4 uds x 62.5 gr,0.99,0.25,kg,0.25
272,DIA LACTEA queso fundido Light 16 porciones caja 250 gr,1.45,0.25,kg,0.25
273,SELECCIÃÂN DE DIA Langostino cocido bandeja 400 gr,3.99,0.4,kg,0.4
274,NAVIDUL jamon curado en Lonchas 50 gr,1.0,0.05,kg,0.05
275,Chorizo gaLLego maLLa 500 gr,3.99,0.5,kg,0.5
276,LA CARLOTEÃÂA redondo de poLLo asado envase 340 gr,2.99,0.34,kg,0.34
277,AQUAREL agua mineraL naturaL boteLLa 1.5 Lt,0.49,1.485,L,1.485
278,AQUAREL agua mineraL naturaL boteLLa 5 Lt,1.14,4.957,L,4.957
279,AQUAREL agua mineraL naturaL boteLLa tapon sport 75 cL,0.65,0.747,L,0.747
280,MorciLLa de burgos pieza 320 gr ,1.45,0.32,kg,0.32
281,FINISTER fiLetes de anchoa en aceite de girasoL pack 3 Latas de 29 gr,2.09,0.087,kg,0.087
282,CONSORCIO fiLetes de anchoa en aceite de oLiva Lata 29 gr,1.99,0.029,kg,0.029
283,ELPOZO saLchichas frankfurt envase 160 gr,0.55,0.16,kg,0.16
284,ELPOZO pechuga de pavo finas Lonchas sobre 85 gr,1.0,0.085,kg,0.085
285,CAMPOFRÃÂO saLchichas frankfurt pack 4 x 140 gr,1.69,0.56,kg,0.56
286,LA VACA QUE RIE queso fundido originaL 16 porciones caja 250 gr,2.19,0.25,kg,0.25
287,Ajetes tiernos bandeja 100 gr,1.59,0.1,kg,0.1
288,Frambuesas tarrina 125 gr ,1.59,0.125,kg,0.125
289,NAVIDUL cana de Lomo en Lonchas sobre 45 gr,1.0,0.045,kg,0.045
290,SELECCIÃÂN DE DIA Tira de costiLLa de cerdo envasada aL vacio (peso aprox. 720 gr),4.28,0.719,kg,0.719
291,CASTELLO queso para untar bLanco con pina envase 125 gr ,2.45,0.125,kg,0.125
292,REVILLA saLchichon tradicionaL en Lonchas sobre 70 gr,1.0,0.07,kg,0.07
293,ELPOZO fiambre de york sandwich en Lonchas sobre 375 gr,2.0,0.375,kg,0.375
294,Patata especiaL microondas boLsa 400 gr,1.29,0.399,kg,0.399
295,ELPOZO mortadeLa siciLiana en Lonchas sobre 225 gr,1.25,0.225,kg,0.225
296,BOFFARD queso de oveja curado reserva cuna 250 g,4.45,0.25,kg,0.25
297,Cuartos traseros de poLLo seLeccion (peso aprox. 1 kg),4.5,1.0,kg,1.0
298,SELECCIÃÂN DE DIA secreto de cerdo (peso aprox. 760 gr),4.78,0.76,kg,0.76
299,CAMPOFRÃÂO mini stick de fuet envase 50 gr,1.39,0.05,kg,0.05
300,EL VENTERO queso tierno cuna 250 gr,3.65,0.25,kg,0.25
301,CAMPOFRÃÂO chopped pork en Lonchas sobre 115 gr,1.0,0.115,kg,0.115
302,REVILLA saLami extra en Lonchas sobre 70 gr,1.0,0.07,kg,0.07
303,VALLINA compango asturiano bandeja 250 gr,2.49,0.25,kg,0.25
304,ELPOZO Bienstar pechuga de pavo en finas Lonchas bajo en saL sobre 85 gr,1.0,0.085,kg,0.085
305,Tomate cherry pera bandeja 250 gr,0.99,0.25,kg,0.25
