,producto,precio,cantidad,medida,cantidad_
133,Ajo granulado Carrefour 55 g.,0.44,0.055,kg,0.055
134,Harina de trigo de fuerza Carrefour 1 kg.,0.64,1.0,kg,1.0
135,Anacardo crudo Carrefour 200 g.,2.66,0.2,kg,0.2
136,Tomate frito Carrefour tarro 550 g.,0.66,0.55,kg,0.55
137,Arroz redondo para microondas Brillante pack de 2 ud. de 125 g.,0.99,0.25,kg,0.25
138,Galletas Carrefour 700 g.,1.14,0.699,kg,0.699
139,Cereales integrales de chocolate Chocapic Nestle 750 g.,3.59,0.749,kg,0.749
140,Leche semidesnatada brik 1 l.,0.6,1.0,L,1.0
141,Tomate frito Carrefour pack de 3 briks de 215 g.,0.78,0.645,kg,0.645
142,Leche semidesnatada President brik 1 l.,0.74,1.0,L,1.0
143,Cookies con pepitas de chocolate Carrefour 225 g.,0.75,0.225,kg,0.225
144,Cafe molido mezcla Carrefour 500 g.,2.45,0.5,kg,0.5
145,Guisantes muy finos Classic Carrefour pack de 3 latas de 140 g.,1.85,0.42,kg,0.42
146,Pina con zumo de pina en rodajas Carrefour pack de 3 unidades de 139 g.,2.05,0.42,kg,0.42
147,Galletas con pepitas de chocolate Minis Chips Ahoy 160 g.,1.45,0.16,kg,0.16
148,Cacao soluble original Cola Cao 760 g.,5.29,0.76,kg,0.76
149,Guisantes muy finos Classic Carrefour 250 g.,0.55,0.25,kg,0.25
150,Aceite de oliva virgen extra hojiblanca Coosur 1 l.,5.99,1.0,L,1.0
151,Fideo nÂº0 Gallo 675 g.,1.67,0.676,kg,0.676
152,Cuajada Danone sin gluten pack de 2 unidades de 135 g.,1.09,0.27,kg,0.27
153,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
154,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
155,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
156,Macarron integral ecologico Carrefour Bio 500 g.,0.74,0.5,kg,0.5
157,Arroz basmati Carrefour 1 kg.,2.07,1.0,kg,1.0
158,Maiz dulce Carrefour pack de 6 unidades de 70 g.,1.99,0.42,kg,0.42
159,Pizza de jamon y queso Carrefour 400 g.,1.99,0.4,kg,0.4
160,Pizza caprese fina y crujiente Forno di Pietra Buitoni 350 g.,3.24,0.35,kg,0.35
161,Petit de fresa y platano Danonino sin gluten pack de 6 unidades de 50 g.,1.19,0.3,kg,0.3
162,Atun en aceite de oliva pack de 6 latas de 52 g.,3.56,0.312,kg,0.312
163,Pizza quattro formaggi Ristorante Dr. Oetker 340 g.,3.48,0.34,kg,0.34
164,Galletas rellenas de crema de chocolate Mini Principe 160 g.,1.45,0.16,kg,0.16
165,Pepinillos sabor anchoa Rioverde 180 g.,1.53,0.18,kg,0.18
166,Vinagre de manzana Carrefour 1 l.,0.62,1.0,L,1.0
167,Harina de trigo Carrefour 2 kg.,0.98,2.0,kg,2.0
168,Palomitas saladas para microondas Carrefour pack de 6 bolsas de 100 g.,1.46,0.601,kg,0.601
169,Atun claro en aceite de oliva Classic Carrefour pack de 3 latas de 52 g.,1.92,0.156,kg,0.156
170,Garbanzos cocidos sin sal anadida Carrefour 400 g.,0.67,0.401,kg,0.401
171,Chocolate negro para reposteria Nestle Postres sin gluten 250 g.,2.15,0.25,kg,0.25
172,Galletas avena choco Digestive Gullon 425 g.,1.61,0.425,kg,0.425
173,Tomate triturado Cidacos 400 g.,0.87,0.401,kg,0.401
174,Leche entera Carrefour pack de 6 briks de 200 ml.,1.35,1.195,L,1.195
175,Patatas fritas estilo churreria Carrefour 150 g.,0.8,0.15,kg,0.15
176,Aceite de oliva virgen extra Allegro 5 l.,17.95,5.0,L,5.0
177,Sardinillas en aceite de oliva Carrefour pack de 2 unidades de 65 g.,1.2,0.13,kg,0.13
178,Yogur bifidus desnatado edulcorado natural Danone Activia pack de 8 unidades de 120 g.,3.29,1.0,kg,1.0
179,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
180,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
181,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
182,Crema de cacao con avellanas Nutella sin gluten 450 g.,3.79,0.45,kg,0.45
183,Fabada Asturiana Litoral sin gluten 420 g.,1.59,0.42,kg,0.42
184,Mayonesa con aceite de girasol Carrefour tarro 450 ml.,0.99,0.427,kg,0.427
185,Pizza 4 quesos fina y crujiente Forno Di Pietra Buitoni 350 g.,3.24,0.35,kg,0.35
186,Yogur griego azucarado natural Danone Oikos sin gluten pack de 4 unidades de 110 g.,2.19,0.44,kg,0.44
187,Lenteja cocida categoria extra Luengo 400 g.,0.95,0.401,kg,0.401
188,Galletas rellenas de crema de chocolate Principe pack de 3 unidades de 300 g.,4.29,0.899,kg,0.899
189,Caldo de cocido Carrefour sin gluten 1 l.,0.72,1.0,L,1.0
190,Tomate frito Orlando sin gluten pack de 3 briks de 212 g.,1.33,0.636,kg,0.636
191,Yogur de coco. fresa. frutos del bosque y macedonia Danone pack de 8 unidades de 120 g.,2.14,1.0,kg,1.0
192,Tomate frito con aceite de oliva virgen extra Carrefour pack de 3 briks de 390 g.,1.51,1.171,kg,1.171
193,Pizza barbacoa fina y crujiente Forno di Pietra Buitoni 325 g.,3.24,0.325,kg,0.325
194,Arroz integral para microondas Brillante pack de 2 unidades de 125 g.,1.11,0.25,kg,0.25
195,Yogur de fresa Danone sin gluten pack de 4 unidades de 120 g.,1.19,0.5,kg,0.5
196,Hielo en cubitos Carrefour 2 kg.,0.71,2.029,kg,2.029
197,Pistachos tostados sin sal anadida Carrefour 150 g.,1.8,0.15,kg,0.15
198,Galletas de chocolate rellenas de crema Mini Oreo pack de 4 unidades de 40 g.,1.45,0.16,kg,0.16
199,Galletas Digestive Sensation Carrefour sin aceite de palma 800 g.,1.3,0.802,kg,0.802
200,Arroz categoria extra La Fallera 1 kg.,1.47,1.0,kg,1.0
201,Tortitas de maiz Bicentury 130 g.,1.13,0.13,kg,0.13
202,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
203,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
204,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
205,Yogur bifidus desnatado cremoso de vainilla de madagascar Danone Activia pack de 4 unidades de 120 g.,2.09,0.48,kg,0.48
206,Leche entera Carrefour sin lactosa brik 1 l.,0.77,1.0,L,1.0
207,Melocoton en almibar ligero en mitades Carrefour 480 g.,1.5,0.481,kg,0.481
208,Leche semidesnatada con calcio Carrefour brik 1 l.,0.73,1.0,L,1.0
209,Leche entera brik 1 l.,0.6,1.0,L,1.0
210,Tomate de Navarra pelado troceado Carrefour 390 g.,0.53,0.39,kg,0.39
211,Nata liquida para montar Carrefour pack de 3 unidades de 200 ml.,1.3,0.599,L,0.599
212,Aceite de oliva intenso 1Âº Carrefour 1 l.,3.2,1.0,L,1.0
213,Espaguetis integrales Carrefour 500 g.,0.8,0.5,kg,0.5
214,Huevos L suelo El Granjero 12 ud.,1.89,1.0,ud,1.0
215,Atun claro al natural Calvo pack de 6 unidades de 56 g.,5.5,0.336,kg,0.336
216,Turron de Jijona Carrefour sin gluten 250 g.,2.0,0.25,kg,0.25
217,Mermelada de fresa de temporada Hero 350 g.,1.85,0.35,kg,0.35
218,Pasta rigatoni Garofalo 500 g.,1.81,0.5,kg,0.5
219,Gusanitos Risi sin gluten 85 g.,0.99,0.085,kg,0.085
220,Doble caldo carne Knorr sin gluten y sin lactosa 18 pastillas,1.45,0.18,kg,0.18
