,precio_anterior,precio,precio_rel,producto,link,precio_rel_anterior,precio_rel_1,precio_medida,medida,Q_medida
51,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=384,0.82 /l , 0.79 /l,0.79,l,1.0
52,2.25 ,1.8,5.62 /kg | 4.50 /kg,Galletas Maria sin azucar Zero Gullon 400 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=408,5.62 /kg , 4.50 /kg,4.5,kg,0.4
53,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=408,0.82 /l , 0.79 /l,0.79,l,1.0
54,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=408,0.82 /l , 0.79 /l,0.79,l,1.0
55,2.40 ,2.15,16 /kg | 14.33 /kg,Patatas fritas sal marina y trufa negra gourmet Lay's 150 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432,16 /kg , 14.33 /kg,14.33,kg,0.15
56,0.82 ,0.79,0.82 /l | 0.79 /l,Leche desnatada 0% MG Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432,0.82 /l , 0.79 /l,0.79,l,1.0
57,2.05 ,1.87,4.10 /l | 3.74 /l,Crema de Alicia de calabaza. zanahoria y guisantes Knorr 500 ml.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432,4.10 /l , 3.74 /l,3.74,l,0.5
58,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432,0.82 /l , 0.79 /l,0.79,l,1.0
59,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432,0.82 /l , 0.79 /l,0.79,l,1.0
60,2.09 ,1.9,17.42 /kg | 15.83 /kg,Galletas rellena con crema de cacao Nocilla 120 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456,17.42 /kg , 15.83 /kg,15.83,kg,0.12
