,precio_anterior,precio,precio_rel_ojo,producto,gluten,lactosa,link
111,"
3,19 €","3,10 €","7,97 €/kg
 | 
7,75 €/kg",Surtido de pastas artesanas Reglero 400 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=912
112,"
2,25 €","2,09 €","27,44 €/kg
 | 
25,49 €/kg",Sardinillas en aceite de oliva Albo 82 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=912
113,"
1,52 €","2,30 €/kg",Tomate triturado primera ecologico Carrefour Bio sin gluten 660 g.,Bio,Sin gluten,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=912
114,"
4,19 €","0,70 €/ud","Mini bombon helado sabor clasico, almendras y chocolate blanco Magnum sin gluten 8 ud.",Congelado,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=912
115,"
2,25 €","2,09 €","3,95 €/kg
 | 
3,67 €/kg",Ketchup cero Prima sin gluten envase 570 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=936
116,"
1,09 €","4,04 €/kg",Cuajada azucarada Danone sin gluten pack de 2 unidades de 135 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=936
117,"
1,99 €","7,96 €/kg",Turron de nata con nueces Carrefour Sensation sin gluten 250 g.,Sin gluten,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=960
118,"
5,05 €","4,65 €","25,25 €/kg
 | 
23,25 €/kg",Chocolate negro 85% Lindt Excellence pack de 2 tabletas de 100 g.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=960
119,"
0,88 €","5,87 €/kg",Aceitunas rellenas de pimientos Carrefour sin gluten y sin lactosa 150 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=960
120,"
1,77 €","1,70 €","4,42 €/l
 | 
4,25 €/l",Mayonesa Prima envase 400 ml.,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=984
121,"
1,69 €","2,82 €/kg",Tortilla de patatas Carrefour Classic' sin gluten sin lactosa 600 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=984
122,"
5,05 €","10,10 €/kg",Corazones de filete de merluza ultracongelados Pescanova 500 g.,Congelado,Ver productos de la promocion,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=72
123,"
3,50 €","9,72 €/kg",Hamburguesa de vacuno Master de lomo Extremadura El Encinar de la Humienta 2x180 g,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=72
124,"
1,79 €","6,39 €/kg",Chorizo extra dulce Carrefour sin gluten sin lactosa 280 g.,Sin gluten,Sin lactosa,"Anadir
",https://www.carrefour.es/supermercado/productos-frescos/cat20002/c?offset=72
