,producto,precio,precio/kg,none
160,"










					CARRETILLA paella marinera para microondas bandeja 250 gr",2.45,9.80/Kg,
161,CASA MAS canelones caseros de carne frescos envase 700 gr ,5.59,7.99/Kg,
162,"










					PIERRE MARTINET tabule oriental tarrina 200 gr",1.75,8.75/Kg,
163,Kiwi unidad (160 gr aprox.),0.62,3.89/Kg,
164,Limón unidad (350 gr aprox.),0.70,1.99/Kg,
165,Mandarina unidad (200 gr aprox.),0.37,1.85/Kg,
166,Chirimoya unidad (520 gr aprox.),1.55,2.99/Kg,
167,Manzana reineta unidad (280 gr aprox.),0.67,2.39/Kg,
168,Calabacín unidad (900 gr aprox.),1.43,1.59/Kg,
169,Naranja unidad (400 gr aprox.),0.60,1.49/Kg,
170,Tomate en rama unidad (190 gr aprox.),0.34,1.79/Kg,
171,Tomate ensalada unidad (380 gr aprox.),0.64,1.69/Kg,
172,Tomate canario unidad (250 gr aprox.),0.35,1.39/Kg,
173,Pimiento italiano unidad (200 gr aprox.),0.31,1.55/Kg,
174,DIA GALATEA queso fundido 16 lonchas paquete 300 gr,1.09,3.63/Kg,
175,Remolacha cocida bolsa 500 gr,0.79,1.58/Kg,
176,SELECCIÓN DE DIA cuartos traseros de pollo bandeja (peso aprox. 1.3 kg),4.10,3.15/Kg,
177,Maíz cocido mazorcas bolsa 400 gr,1.15,2.88/Kg,
178,Cebolla malla 2 Kg,1.69,0.85/Kg,
179,Brócoli pieza 500 gr,1.25,2.50/Kg,
180,DIA GALATEA queso rallado especial para gratinar bolsa 200 gr,0.99,4.95/Kg,
181,"










					Apio bolsa 500 gr",0.99,1.98/Kg,
182,LA GULA DEL NORTE al ajillo envase 110 gr,2.99,27.18/Kg,
183,SELECCIÓN DE DIA filetes de pechuga de pollo bandeja (peso aprox. 760 gr),5.55,7.30/Kg,
184,PAVOFRÍO pechuga de pavo en lonchas,10.99,10.99/Kg,
185,LA GULA DEL NORTE con gambas al ajillo envase 110 gr,2.99,27.18/Kg,
186,Corazones de cogollos 6 uds,1.89,0.32/ud,
187,Champiñón laminado bandeja 250 gr,1.29,5.16/Kg,
188,Ciruela roja unidad (120 gr aprox.),0.27,2.29/Kg,
189,"










					DIA LACTEA queso fresco natural pack 2 x 250 gr ",1.55,3.10/Kg,
190,KRISSIA surimi fresco rallado envase 125 g,1.99,15.92/Kg,
191,Naranja de zumo malla 4 Kg ,3.59,0.90/Kg,
192,DIA EL CENCERRO queso tierno light en lonchas envase 200 gr,1.99,9.95/Kg,
193,REVILLA chorizo tradición en lonchas sobre 70 gr,0.99,14.14/Kg,
194,Cebolla buti 1 Kg,1.19,1.19/Kg,
195,DIA LACTEA queso rallado emmental bolsa 200 gr,1.29,6.45/Kg,
196,Pimiento tipo padrón bolsa 200 gr,1.05,5.25/Kg,
197,Patata lavada malla 5 Kg,3.29,0.66/Kg,
198,Limones malla 1 Kg,1.89,1.89/Kg,
199,SELECCIÓN DE DIA pechugas enteras de pollo bandeja (peso aprox. 600 gr),3.91,6.52/Kg,
200,Conejo entero bandeja (peso aprox. 1560 gr),9.28,5.95/Kg,
201,"










					VEGA E HIJOS queso fresco artesano envase 250 gr",1.99,7.96/Kg,
202,Melón piel de sapo unidad (3.5 Kg aprox.),5.92,1.69/Kg,
203,GARCIA BAQUERO queso semicurado cuña 325 gr,3.95,12.15/Kg,
204,DIA SELECCIÓN MUNDIAL queso edam cuña 470 gr,3.15,6.70/Kg,
205,DIA chistorra pieza 220 gr ,1.25,5.68/Kg,
206,GARCIA BAQUERO queso semicurado ya cortado envase 250 gr,4.69,18.76/Kg,
207,EL CASERIO queso rallado 4 quesos bolsa 150 gr,2.29,15.27/Kg,
208,"










					CASA TARRADELLAS espetec extra pieza 180 gr",2.09,11.61/Kg,
209,CASA TARRADELLAS cintas de bacon envase 2x100 gr,1.99,9.95/Kg,
210,GARCIA BAQUERO queso curado ya cortado pieza 250 g,4.85,19.40/Kg,
211,BURGO DE ARIAS queso fresco mini natural envase pack 3x72 g,2.39,11.06/Kg,
212,SELECCIÓN DE DIA filetes de contramuslo de pollo bandeja (peso aprox. 640 gr),4.15,6.49/Kg,
213,Banana unidad (300 gr aprox.),0.36,1.19/Kg,
214,Aguacate unidad (300 gr aprox.),1.31,4.35/Kg,
215,Berenjena unidad (420 gr aprox.),0.63,1.49/Kg,
216,Repollo rizado unidad (2 Kg aprox),1.98,0.99/Kg,
217,Manzana granny unidad (200 gr aprox.),0.35,1.75/Kg,
218,"










					Piña unidad (2.3 Kg aprox.)",1.96,0.85/Kg,
219,Uva roja racimo (980 gr aprox.),2.73,2.79/Kg,
220,Pomelo unidad (400 gr aprox.),0.80,1.99/Kg,
221,DIA SELECCIÓN MUNDIAL salmón ahumado noruego sobre 200 gr,5.69,28.45/Kg,
222,DIA EL CENCERRO queso azul envase 150 gr,1.45,9.67/Kg,
223,PHILADELPHIA queso para untar original tarrina 250 gr,2.09,8.36/Kg,
224,Cebolla dulce unidad (400 gr aprox.),1.00,2.49/Kg,
225,Tomate pera unidad (250 gr aprox.),0.37,1.49/Kg,
226,"










					PHILADELPHIA queso para untar light tarrina 250 gr",2.09,8.36/Kg,
227,SELECCIÓN DE DIA cinta de lomo de cerdo en trozo (peso aprox. 1 Kg),3.95,3.95/Kg,
228,DIA SELECCIÓN MUNDIAL queso mascarpone tarrina 250 gr ,1.79,7.16/Kg,
229,Mango unidad (720 gr aprox.),1.69,2.35/Kg,
