,producto,precio,cantidad,medida
293,Refresco Coca-Cola Zero azucar,1.38,25.0,L
294,Refresco Coca-Cola Zero azucar,3.96,2.0,L
295,Refresco Coca-Cola Zero azucar,1.2,0.5,L
296,Refresco Coca-Cola Zero Zero,7.92,3.96,L
297,Refresco Coca-Cola Zero Zero,0.75,0.33,L
298,Refresco Coca-Cola Zero Zero,3.16,4.0,L
299,Refresco Coca-Cola Zero Zero,1.8,2.0,L
300,Refresco cola Hacendado Zero azucar,0.51,2.0,L
301,Refresco cola Hacendado Zero azucar,2.4,3.0,L
302,Refresco cola Hacendado Zero azucar,0.4,0.5,L
303,Refresco cola Hacendado Zero azucar,1.56,1.98,L
304,Refresco cola Hacendado Zero azucar,0.26,0.33,L
305,Refresco cola Hacendado Zero azucar Zero cafeina,0.51,2.0,L
306,Refresco cola Hacendado Zero azucar Zero cafeina,1.56,1.98,L
307,Refresco cola Hacendado Zero azucar Zero cafeina,0.26,0.33,L
308,Refresco cola Pepsi Max zero,4.48,2.64,L
309,Refresco cola Pepsi Max zero,0.58,0.33,L
310,Refresco cola Pepsi Max zero,1.2,75.0,L
311,Refresco Coca-Cola light sin cafeina,0.75,0.33,L
312,Refresco Coca-Cola light,1.8,2.0,L
313,Refresco Coca-Cola light,7.92,3.96,L
314,Refresco Coca-Cola light,0.75,0.33,L
315,Refresco cola Pepsi light sin cafeina,1.15,75.0,L
316,Refresco Coca-Cola Zero Zero,7.92,3.96,L
317,Refresco Coca-Cola Zero Zero,0.75,0.33,L
318,Refresco Coca-Cola Zero Zero,3.16,4.0,L
319,Refresco Coca-Cola Zero Zero,1.8,2.0,L
320,Refresco Coca-Cola sin cafeina,0.75,0.33,L
321,Refresco Coca-Cola sin cafeina,1.8,2.0,L
322,Refresco Coca-Cola light sin cafeina,0.75,0.33,L
323,Refresco cola Hacendado Zero azucar Zero cafeina,0.51,2.0,L
324,Refresco cola Hacendado Zero azucar Zero cafeina,1.56,1.98,L
325,Refresco cola Hacendado Zero azucar Zero cafeina,0.26,0.33,L
326,Refresco cola Pepsi light sin cafeina,1.15,75.0,L
