,producto,precio,precio_rel,link,oferta
132,DIA AL PUNTO pizza de jamón y queso envase 400 gr,1.99,4.98/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
133,DIA AL PUNTO pizza de atún y bacon envase 400 gr,2.19,5.48/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
134,LITORAL cocido madrileño lata 440 gr,2.39,5.62/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
135,CASA TARRADELLAS pizza 4 quesos envase 390 gr,2.63,6.74/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
136,DIA AL PUNTO gazpacho envase 1 lt,1.29,1.29/l,https://www.dia.es/compra-online/platos-preparados/cf,0
137,CASA TARRADELLAS pizza jamón y queso pack 2 envases 225 gr,2.79,6.20/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
138,CASA TARRADELLAS pizza carbonara envase 400 gr,2.75,6.88/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
139,DIA AL PUNTO pizza fresca 4 quesos envase 400 gr,1.99,4.98/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
140,DIA AL PUNTO gazpacho pack 3 unidades de 330 ml,1.75,1.77/l,https://www.dia.es/compra-online/platos-preparados/cf,0
141,DIA VEGECAMPO pisto con aceite de oliva frasco 350 gr,0.99,2.83/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
142,AGUINAMAR salpicón de marisco bandeja 230 gr,3.75,16.30/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
143,LA BROCHE Fun roll de pollo y queso 2 unidades bandeja 275 gr,1.85,6.73/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
144,DIA AL PUNTO pizza carbonara envase 400 gr,2.25,5.63/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
145,Pimiento asado en tiras bicolor bandeja 350 gr,2.35,6.71/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
146,LA BROCHE Fun roll de bacon y queso bandeja 275 gr,1.85,6.73/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
147,CASA TARRADELLAS pizza de pollo envase 410 gr,2.75,6.71/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
148,LA CARLOTEÑA redondo de pollo asado relleno de jamón y queso envase 340 gr,2.99,8.79/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
149,CARRETILLA paella marinera para microondas bandeja 250 gr,2.45,9.80/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
150,PIERRE MARTINET tabule oriental tarrina 200 gr,1.75,8.75/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
151,EL MOLINO DE DIA empanada de carne 550 gr,3.10,5.64/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0
152,Limón unidad (350 gr aprox.),0.70,1.99/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
