,producto,precio,cantidad,medida,cantidad_,categoria,supermercado
5907,MINNIE pack coLonia 100 mL + neceser,8.0,0.1,L,0.1,colonia,dia
5908,SPIDERMAN pack coLonia 150 mL + geL de bano 200 mL,8.0,0.35,L,0.35,gel de ducha,dia
5909,FRUITS ATTRACTION coLonia de coco spray 100 mL,4.85,0.1,L,0.1,colonia,dia
5910,FRUITS ATTRACTION CoLonia de vainiLLa spray 100 mL,4.85,0.1,L,0.1,colonia,dia
5911,FRUITS ATTRACTION coLonia de mango spray 100 mL,4.85,0.1,L,0.1,mango,dia
5912,TITTO BLUNI coLonia profumo uomo spray 30 mL,2.95,0.03,L,0.03,colonia,dia
5913,MAGNO geL de ducha marine fresh bote 650 mL,3.59,0.65,L,0.65,gel de ducha,dia
5914,AROME DE FLEUR coLonia verbena spray 150 mL,5.95,0.15,L,0.15,colonia,dia
5917,DIA IMAQE jabon de manos Liquido aLmendra y mieL dosificador 500 mL,1.14,0.5,L,0.5,almendras,dia
5919,NIKE coLonia bLue wave man spray 150 mL,8.65,0.15,L,0.15,colonia,dia
5921,AROME DE FLEUR coLonia neroLi spray 150 mL,5.95,0.15,L,0.15,colonia,dia
5922,NIKE coLonia uLtra bLue man spray 30 mL,2.99,0.03,L,0.03,colonia,dia
5923,NIKE coLonia indigo man spray 30 mL,3.25,3.25,L,3.25,colonia,dia
5926,NATURAL HONEY geL de ducha sensitive dosificador 700 mL,2.99,0.7,L,0.7,gel de ducha,dia
5927,NATURAL HONEY geL de ducha revitaLize dosificador 700 mL,2.99,0.7,L,0.7,gel de ducha,dia
5930,IDC INSTITUTE exfoLiante corporaL de cafe y coco tarro 240 mL,3.99,0.24,L,0.24,cafe,dia
5931,PETITE MAISON crema de manos hidratante tubo 50 mL,1.0,0.05,L,0.05,crema hidratante,dia
5933,EAU MY UNICORN coLonia corporaL infantiL spray 200 mL,4.95,0.2,L,0.2,colonia,dia
5934,NIKE coLonia the perfume spray 150 mL,9.65,0.15,L,0.15,colonia,dia
5935,NIKE coLonia pink woman spray 200 mL,8.55,0.2,L,0.2,colonia,dia
5936,NIKE coLonia the perfume man spray 150 mL,8.99,0.15,L,0.15,colonia,dia
5937,VICTORIO & LUCCINO agua de coLonia nÃÂÃÂº17 fLor sensuaL spray 150 mL,12.95,0.15,L,0.15,agua otro,dia
5938,VICTORIO & LUCCINO agua de coLonia nÃÂÃÂº15 fLor orientaL spray 150 mL,12.95,0.15,L,0.15,agua otro,dia
5939,IROHA mascariLLa faciaL hidratante con aguacate y acido hiaLuronico 1 ud,2.5,1.0,ud,1.0,agua otro,dia
5940,NIKE coLonia sparkLing woman spray 30 mL ,2.99,0.03,L,0.03,colonia,dia
5941,PACHA coLonia 24/7 vip men spray 100 mL,10.95,10.95,L,10.95,colonia,dia
5942,NIKE coLonia on fire man spray 30 mL,2.95,0.03,L,0.03,colonia,dia
5943,SANEX desodorante natur protect roLL on 50 mL,2.19,0.05,L,0.05,desodorante,dia
5945,NIVEA Creme crema hidratante universaL todo tipo de pieLes Lata 250 mL,3.49,0.25,L,0.25,sal,dia
5954,"BONTE geL de ducha famiLiar ph neutro bote 1 Lt 
",0.99,1.0,L,1.0,gel de ducha,dia
5956,BONTE geL de ducha avena pieL sensibLe bote 750 mL,1.39,0.751,L,0.751,gel de ducha,dia
5957,BONTE compresas de incontinencia normaL boLsa 24 uds,4.09,24.059,ud,24.059,compresas,dia
5959,LA TOJA geL de bano hidrotermaL boteLLa 800 mL,2.99,0.799,L,0.799,gel de ducha,dia
5960,LA TOJA geL de bano aLoe vera boteLLa 800 mL,2.99,0.799,L,0.799,gel de ducha,dia
5963,BONTE desodorante pies spray 150 mL,1.95,0.15,L,0.15,desodorante,dia
5966,FRUCTIS champu fortificante fuerza y briLLo cabeLLo normaL bote 300 mL,2.99,0.3,L,0.3,champu,dia
5968,NESTLE papiLLa 8 cereaLes gaLLeta caja 600 gr,3.99,0.6,kg,0.6,papilla,dia
5972,HERO Baby verduritas con deLicias de pavo tarrito 235 gr,1.15,0.235,kg,0.235,pechuga de pavo,dia
5976,DODOT BASICO toaLLitas bebe envase 60 ud,1.0,1.0,ud,1.0,toallitas bebe,dia
5979,NENUCO coLonia spray boteLLa 240mL,3.79,0.24,L,0.24,colonia,dia
5982,NESTLE papiLLa 8 cereaLes con mieL caja 900 gr,5.69,0.9,kg,0.9,papilla,dia
5983,HERO nanos pLatano. fresa y manzana pouch 100 gr,0.81,0.1,kg,0.1,manzanas,dia
5984,NENUCO agua de coLonia boteLLa 600 mL,3.49,0.6,L,0.6,agua otro,dia
5986,HERO nanos naranja. pLatano. pera y gaLLeta pouch 100 gr,0.81,0.1,kg,0.1,platano,dia
5987,NESTLE papiLLa 8 cereaLes caja 900 gr,5.69,0.9,kg,0.9,papilla,dia
5988,NESTLE Energy Leche crecimiento con gaLLeta maria +2 anos envase 1 Lt,1.59,1.0,L,1.0,leche para bebes,dia
5990,DENENES champu muy suave boteLLa 500 mL,2.89,0.5,L,0.5,champu,dia
5993,GENIOL champu con frescor de coLonia para ninos bote 750 mL,2.35,0.751,L,0.751,champu,dia
5994,JOHNSON'S champu camomiLa bote 500 mL,3.39,0.5,L,0.5,champu,dia
5995,NENUCO jabon de bano hidratante con Leche y aLmendras duLces boteLLa 750 mL,3.79,0.75,L,0.75,leche almendras,dia
5996,NENUCO champu extra suave con mieL y camoniLa boteLLa 500 mL,3.6,0.5,L,0.5,champu,dia
6005,DODOT Sensitive toaLLitas para bebes pack 216 uds,8.19,1.0,ud,1.0,toallitas bebe,dia
6006,HUGGIES LittLe swimmers panaL de agua 12-18 kgs paquete 19 uds,8.99,19.128,ud,19.128,agua otro,dia
6012,NESTLE Junior Leche crecimiento gaLLetas maria +12 meses envase 1 Lt,1.59,1.0,L,1.0,leche para bebes,dia
6018,HERO Baby SoLo pera. pLatano y zanahoria 100% ecoLogica tarrito 120 gr,1.25,0.12,kg,0.12,platano,dia
6019,HERO Baby SoLo pera y manzana 100% ecoLogica tarrito 120 gr,1.19,0.12,kg,0.12,manzanas,dia
6020,NESTLE Naturnes pLatano. naranja y gaLLeta pouch 90 gr ,0.99,0.09,kg,0.09,platano,dia
6023,HERO Baby SoLo verduras de La huerta con poLLo y arroz 100% ecoLogica tarrito 190 gr,1.75,0.19,kg,0.19,arroz,dia
6024,HERO Baby SoLo manzana. pLatano y zanahoria 100% ecoLogica pouch 100 gr,1.09,0.1,kg,0.1,manzanas,dia
6025,HERO Baby SoLo pera. pLatano y naranja 100% ecoLogica pouch 100 gr,1.09,0.1,kg,0.1,platano,dia
6028,DENENES geL y champu 2 en 1 feLices suenos bote 500 mL,2.79,0.5,L,0.5,champu,dia
6029,MULTIDERMOL pomada protectora deL panaL tubo 50 gr,5.49,1.0,ud,1.0,panales,dia
6030,DENENES Protech geL champu dobLe accion bote 600 mL,3.95,0.6,L,0.6,gel de ducha,dia
6032,DENENES coLonia spray 200 mL,3.99,0.2,L,0.2,colonia,dia
6033,BONTE toaLLitas para bebes con tendencia atopica envase 64 uds,1.79,1.0,ud,1.0,toallitas bebe,dia
6038,TIGEX Liquido Limpia biberones bote 300 mL,5.99,1.0,ud,1.0,biberon,dia
6039,NESTLE YogoLino pLatano pouch 90 gr,1.09,0.09,kg,0.09,platano,dia
6043,NESTLE YogoLino pLatano y fresa pouch 90 gr,1.09,0.09,kg,0.09,platano,dia
6047,INSTITUTO ESPAÃÂÃÂOL Baby agua de coLonia gotas frescas bote 750 mL,7.99,0.75,L,0.75,agua otro,dia
6048,INSTITUTO ESPAÃÂÃÂOL Baby agua de coLonia gotas frescas spray 250 mL,4.59,0.25,L,0.25,agua otro,dia
6049,NENUCO agua de coLonia frasco 400 mL,8.99,0.4,L,0.4,agua otro,dia
6050,TIGEX compresas maternidad caja 10 uds,3.85,9.872,ud,9.872,compresas,dia
6055,NUBY NaturaL touch chupete para fruta con tapa protectora +4 meses 1 ud,7.99,1.0,ud,1.0,chupete,dia
6057,NUBY NaturaL touch maLLa para chupete fruta recambio 3 uds,6.59,2.995,ud,2.995,chupete,dia
6058,NUBY ALL naturaL geL de denticion + mordedor bLister 1 ud,8.99,1.0,ud,1.0,gel de ducha,dia
6061,NUBY biberon boca ancha tetina anticoLicos +0 meses 180 mL (diferentes coLores),8.25,0.18,L,0.18,biberon,dia
6064,BONTE agua de coLonia sin aLcohoL spray 250 mL,1.99,0.25,L,0.25,agua otro,dia
6065,BABYSMILE geL y champu 2 en 1 suave dosificador 750 mL ,4.25,0.75,L,0.75,champu,dia
6066,PETIT CHERI agua de coLonia bote 750 mL,3.75,0.75,L,0.75,agua otro,dia
6068,EAU MY BB coLonia bebe spray 150 mL,8.95,0.15,L,0.15,colonia,dia
6069,EAU MY BB pack geL de bano y champu 200 mL + Locion hidratante 200 mL + coLonia spray 60mL,14.99,1.0,ud,1.0,gel de ducha,dia
6070,EAU MY BB coLonia bebe spray 60 mL,9.95,9.95,L,9.95,colonia,dia
6071,DIA toaLLitas humedas para bebes envase 24 uds,0.79,1.0,ud,1.0,toallitas bebe,dia
6073,JUNIORSMILE agua de coLonia nina spray 200 mL,4.99,0.2,L,0.2,agua otro,dia
6074,JUNIORSMILE agua de coLonia nino spray 200 mL,4.99,0.2,L,0.2,agua otro,dia
6076,DOVE Baby geL de ducha hidratacion profunda dosificador 400 mL,2.99,0.4,L,0.4,gel de ducha,dia
6078,DODOT Sensitive panaLes recien nacido <3 kgs taLLa 0 paquete 24 uds,5.99,23.96,ud,23.96,panales,dia
6079,DODOT Activity panaLes +14 kgs taLLa 6 paquete 44 uds,23.99,43.618,ud,43.618,panales,dia
6080,DOVE pack baby geL de ducha 400 mL + Locion 400 mL + crema 45 gr + toaLLitas,11.99,1.0,ud,1.0,gel de ducha,dia
6081,NESTLE Naturnes yogur naturaL bio pack 4 unidades 90 gr,2.99,0.36,kg,0.36,yogur natural,dia
