,producto,precio,cantidad,medida,categoria,supermercado
1179,Panal bebe braguita talla XL de 16-28 kg Deliplus,6.95,22.0,ud,panales,mercadona
1180,Panal junior braguita noche infantil Deliplus de 17-30 kg,9.9,16.0,ud,panales,mercadona
1181,Panal junior braguita noche infantil Deliplus de 27-57 kg,9.9,13.0,ud,panales,mercadona
1182,Cerveza Clasica Steinburg,2.76,3.96,L,cerveza,mercadona
1183,Cerveza Clasica Steinburg,0.23,0.33,L,cerveza,mercadona
1184,Cerveza Heineken,6.36,3.96,L,cerveza,mercadona
1185,Cerveza Heineken,0.65,0.33,L,cerveza,mercadona
1186,Cerveza especial Mahou,6.6,3.96,L,cerveza,mercadona
1187,Cerveza especial Mahou,0.68,0.33,L,cerveza,mercadona
1188,Cerveza clasica Mahou,5.88,3.96,L,cerveza,mercadona
1189,Cerveza clasica Mahou,0.5,0.33,L,cerveza,mercadona
1190,Cerveza doble malta Voll-Damm,9.6,3.96,L,cerveza,mercadona
1191,Cerveza doble malta Voll-Damm,0.8,0.33,L,cerveza,mercadona
1192,Cerveza Suave Steinburg,2.64,3.96,L,cerveza,mercadona
1193,Cerveza Suave Steinburg,0.22,0.33,L,cerveza,mercadona
1194,Cerveza Especial Steinburg,3.36,3.96,L,cerveza,mercadona
1195,Cerveza Especial Steinburg,0.28,0.33,L,cerveza,mercadona
1196,Cerveza Pils Krombacher,13.5,5.0,L,cerveza,mercadona
1197,Cerveza Pils Krombacher,2.52,1.98,L,cerveza,mercadona
1198,Cerveza Pils Krombacher,0.42,0.33,L,cerveza,mercadona
1199,Cerveza Tostada 1897,4.14,2.97,L,cerveza,mercadona
1200,Cerveza Tostada 1897,0.46,0.33,L,cerveza,mercadona
1201,Cerveza doble malta,2.88,1.98,L,cerveza,mercadona
1202,Cerveza doble malta,0.48,0.33,L,cerveza,mercadona
1203,Cerveza artesana Session IPA Arriaca,5.6,1.32,L,cerveza,mercadona
1204,Cerveza artesana Session IPA Arriaca,1.4,0.33,L,cerveza,mercadona
1205,Cerveza sin gluten Steinburg,5.4,3.96,L,cerveza,mercadona
1206,Cerveza sin gluten Steinburg,0.45,0.33,L,cerveza,mercadona
1207,Cerveza negra Black 1897,2.7,1.98,L,cerveza,mercadona
1208,Cerveza negra Black 1897,0.45,0.33,L,cerveza,mercadona
1209,Cerveza Guinness Draught Stout,1.32,0.33,L,cerveza,mercadona
1210,Cerveza Clasica Steinburg,0.7,1.0,L,cerveza,mercadona
1211,Cerveza Clasica Steinburg,3.9,6.0,L,cerveza,mercadona
1212,Cerveza Clasica Steinburg,0.65,1.0,L,cerveza,mercadona
1213,Cerveza Clasica Steinburg,3.6,3.96,L,cerveza,mercadona
1214,Cerveza Clasica Steinburg,0.3,0.33,L,cerveza,mercadona
1215,Cerveza Clasica Steinburg,3.24,2.4,L,cerveza,mercadona
1216,Cerveza Clasica Steinburg,0.27,0.2,L,cerveza,mercadona
1217,Cerveza reserva 1925 Alhambra,6.78,1.98,L,cerveza,mercadona
1218,Cerveza reserva 1925 Alhambra,1.13,0.33,L,cerveza,mercadona
